Nombre,Sitio,País,Precio actual,Mínimo 15 días,Promedio 15 días,Notas,Dependencia idioma,Ranking BGG
https://www.boardgamegeek.com/boardgame/39683++At the Gates of Loyang,https://www.planetongames.com/es/a-las-puertas-de-loyang-at-the-gates-of-loyang-p-1791.html++Planeton (precio aproximado),es,$180067,$174854,$177140,,Cantidad de texto moderada,448
https://www.boardgamegeek.com/boardgame/231581++AuZtralia,https://www.planetongames.com/es/auztralia-p-7951.html++Planeton (precio aproximado),es,$236505,$229564,$232585,,Cantidad de texto moderada,794
https://www.boardgamegeek.com/boardgame/188866++Awkward Guests: The Walton Case,https://www.planetongames.com/es/incomodos-invitados-p-6078.html++Planeton (precio aproximado),es,$164830,$160083,$162172,,Alta dependencia,375
https://www.boardgamegeek.com/boardgame/346965++Azul: Queen&#x27;s Garden,https://www.planetongames.com/es/azul-jardin-de-la-reina-p-9916.html++Planeton (precio aproximado),es,$151839,$148511,$162253,,Sin texto,668
https://www.boardgamegeek.com/boardgame/383607++Barcelona,https://www.planetongames.com/es/barcelona-p-10839.html++Planeton (precio aproximado),es,$221111,$214641,$217462,,Sin texto,646
https://www.boardgamegeek.com/boardgame/123123++BattleCON: Devastation of Indines,https://www.planetongames.com/es/battlecon-devastation-of-indines-p-4739.html++Planeton (precio aproximado),es,$278547,$270319,$273886,,Alta dependencia,699
https://www.boardgamegeek.com/boardgame/204728++BattleCON: Trials of Indines,https://www.planetongames.com/es/battlecon-fate-of-indines-p-6319.html++Planeton (precio aproximado),es,$163287,$158587,$160656,,No hay datos,4032
https://www.boardgamegeek.com/boardgame/67492++Battles of Westeros,https://www.planetongames.com/es/battles-of-westeros-a-battlelore-game-p-2203.html++Planeton (precio aproximado),es,$274030,$265940,$269448,,Alta dependencia,1392
https://www.boardgamegeek.com/boardgame/88926++Battles of Westeros: Lords of the River,https://www.planetongames.com/es/batallas-de-poniente-senores-del-rio-tully-p-2491.html++Planeton (precio aproximado),es,$146047,$141875,$143719,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/317985++Beyond the Sun,https://www.planetongames.com/es/beyond-the-sun-p-9827.html++Planeton (precio aproximado),es,$263519,$255750,$259122,,Cantidad de texto moderada,104
https://www.boardgamegeek.com/boardgame/231218++Black Sonata,https://www.planetongames.com/es/black-sonata-p-9189.html++Planeton (precio aproximado),es,$146787,$142593,$144447,,Poco texto,947
https://www.boardgamegeek.com/boardgame/262215++Blackout: Hong Kong,https://www.planetongames.com/es/blackout-hong-kong-p-8299.html++Planeton (precio aproximado),es,$200774,$194927,$197483,,Cantidad de texto moderada,621
https://www.boardgamegeek.com/boardgame/343905++Boonlake,https://www.planetongames.com/es/boonlake-p-9747.html++Planeton (precio aproximado),es,$228902,$222193,$225115,,Sin texto,463
https://www.boardgamegeek.com/boardgame/224517++Brass: Birmingham,https://www.planetongames.com/es/brass-birmingham-p-7855.html++Planeton (precio aproximado),es,$259116,$251482,$254820,,Sin texto,1
https://www.boardgamegeek.com/boardgame/28720++Brass: Lancashire,https://www.planetongames.com/es/brass-deluxe-p-5858.html++Planeton (precio aproximado),es,$281701,$273376,$276984,,Sin texto,21
https://www.boardgamegeek.com/boardgame/249277++Brazil: Imperial,https://www.planetongames.com/es/preventa-brazil-p-9958.html++Planeton (precio aproximado),es,$214889,$208610,$211349,,Cantidad de texto moderada,925
https://www.boardgamegeek.com/boardgame/332386++Brew,https://www.planetongames.com/es/brew-p-9877.html++Planeton (precio aproximado),es,$151864,$147514,$149434,,Cantidad de texto moderada,1337
https://www.boardgamegeek.com/boardgame/214887++CO₂: Second Chance,https://www.planetongames.com/es/co2-segunda-edicion-second-chance-p-3734.html++Planeton (precio aproximado),es,$263494,$255726,$259097,,Sin texto,874
https://www.boardgamegeek.com/boardgame/284818++Caylus 1303,https://www.planetongames.com/es/caylus-p-3253.html++Planeton (precio aproximado),es,$198290,$192518,$195042,,Sin texto,989
https://www.boardgamegeek.com/boardgame/233371++Clank! In! Space!: A Deck-Building Adventure,https://www.planetongames.com/es/clank-en-el-espacio-p-9954.html++Planeton (precio aproximado),es,$202652,$196747,$199328,,Cantidad de texto moderada,153
https://www.boardgamegeek.com/boardgame/266507++Clank! Legacy: Acquisitions Incorporated,https://www.planetongames.com/es/clank-legacy-p-9709.html++Planeton (precio aproximado),es,$344179,$333942,$338362,,Alta dependencia,24
https://www.boardgamegeek.com/boardgame/299659++Clash of Cultures: Monumental Edition,https://www.planetongames.com/es/clash-of-cultures-edicion-monumental-p-3808.html++Planeton (precio aproximado),es,$419464,$406921,$412321,,Cantidad de texto moderada,230
https://www.boardgamegeek.com/boardgame/220775++Codenames: Disney – Family Edition,https://www.planetongames.com/es/codigo-secreto-disney-p-8429.html++Planeton (precio aproximado),es,$122349,$118903,$120439,,Sin texto,2403
https://www.boardgamegeek.com/boardgame/147151++Concept,https://www.planetongames.com/es/concept-p-4660.html++Planeton (precio aproximado),es,$234684,$227798,$230795,,Alta dependencia,1063
https://www.boardgamegeek.com/boardgame/253344++Cthulhu: Death May Die,https://www.planetongames.com/es/cthulhu-death-may-die-p-8720.html++Planeton (precio aproximado),es,$343797,$333571,$338017,,Cantidad de texto moderada,53
https://www.boardgamegeek.com/boardgame/322289++Darwin&#x27;s Journey,https://www.planetongames.com/es/darwin-journey-p-10630.html++Planeton (precio aproximado),es,$198526,$192747,$195274,,Sin texto,93
https://www.boardgamegeek.com/boardgame/175095++Dawn of the Zeds (Third Edition),https://www.planetongames.com/es/dawn-of-the-zeds-p-6186.html++Planeton (precio aproximado),es,$247823,$240535,$243703,,Alta dependencia,534
https://www.boardgamegeek.com/boardgame/285192++Destinies,https://www.planetongames.com/es/destinies-p-9476.html++Planeton (precio aproximado),es,$191360,$185801,$188234,,Alta dependencia,378
https://www.boardgamegeek.com/boardgame/223321++Detective: A Modern Crime Board Game,https://www.planetongames.com/es/detective-p-8173.html++Planeton (precio aproximado),es,$180067,$174854,$177140,,Alta dependencia,305
https://www.boardgamegeek.com/boardgame/1++Die Macher,https://www.planetongames.com/es/die-macher-p-491.html++Planeton (precio aproximado),es,$221086,$214617,$217437,,Sin texto,472
https://www.boardgamegeek.com/boardgame/256382++Disney Villainous: The Worst Takes it All,https://www.planetongames.com/es/disney-villainous-p-8471.html++Planeton (precio aproximado),es,$222448,$215937,$218775,,Alta dependencia,889
https://www.boardgamegeek.com/boardgame/215311++Downforce,https://www.planetongames.com/es/downforce-p-8549.html++Planeton (precio aproximado),es,$154123,$149704,$151653,,Poco texto,466
https://www.boardgamegeek.com/boardgame/246900++Eclipse: Second Dawn for the Galaxy,https://www.planetongames.com/es/eclipse-el-segundo-amanecer-de-la-galaxia-p-3283.html++Planeton (precio aproximado),es,$442960,$429698,$435403,,Poco texto,19
https://www.boardgamegeek.com/boardgame/146021++Eldritch Horror,https://www.planetongames.com/es/eldritch-horror-p-4577.html++Planeton (precio aproximado),es,$261238,$253539,$256881,,Alta dependencia,133
https://www.boardgamegeek.com/boardgame/82168++Escape from the Aliens in Outer Space,https://www.planetongames.com/es/escape-from-the-aliens-in-outer-space-english-p-2476.html++Planeton (precio aproximado),es,$140777,$136766,$138542,,Sin texto,1345
https://www.boardgamegeek.com/boardgame/199792++Everdell,https://www.planetongames.com/es/everdell-p-8703.html++Planeton (precio aproximado),es,$236530,$229588,$232609,,Alta dependencia,40
https://www.boardgamegeek.com/boardgame/231664++Fast Forward: FEAR,https://www.planetongames.com/es/fantasma-p-7139.html++Planeton (precio aproximado),es,$110433,$107351,$108732,,Cantidad de texto moderada,5285
https://www.boardgamegeek.com/boardgame/256801++Fast Forward: FORTUNE,https://www.planetongames.com/es/fortuna-p-8073.html++Planeton (precio aproximado),es,$110433,$107351,$108732,,No hay datos,8870
https://www.boardgamegeek.com/boardgame/157354++Five Tribes: The Djinns of Naqala,https://www.planetongames.com/es/five-tribes-p-8702.html++Planeton (precio aproximado),es,$202652,$196747,$199328,,Sin texto,89
https://www.boardgamegeek.com/boardgame/345088++Founders of Teotihuacan,https://www.planetongames.com/es/fundadores-de-teotihuacan-p-10218.html++Planeton (precio aproximado),es,$187233,$181800,$184180,,Sin texto,4253
https://www.boardgamegeek.com/boardgame/220308++Gaia Project,https://www.planetongames.com/es/gaia-project-un-juego-de-terra-mystica-p-7220.html++Planeton (precio aproximado),es,$263519,$255750,$259122,,Sin texto,13
https://www.boardgamegeek.com/boardgame/336794++Galaxy Trucker (Second Edition),https://www.planetongames.com/es/galaxy-trucker-p-1260.html++Planeton (precio aproximado),es,$166906,$162096,$164211,,Poco texto,634
https://www.boardgamegeek.com/boardgame/204837++Game of Thrones: The Iron Throne,https://www.planetongames.com/es/el-trono-de-hierro-juego-de-tronos-p-6862.html++Planeton (precio aproximado),es,$198164,$192397,$194919,,No hay datos,3720
https://www.boardgamegeek.com/boardgame/301716++Glasgow,https://www.planetongames.com/es/glasgow-p-9079.html++Planeton (precio aproximado),es,$128008,$124388,$126052,,Sin texto,1733
https://www.boardgamegeek.com/boardgame/174430++Gloomhaven,https://www.planetongames.com/es/gloomhaven-p-8463.html++Planeton (precio aproximado),es,$465593,$451638,$457638,,Alta dependencia,4
https://www.boardgamegeek.com/boardgame/291457++Gloomhaven: Jaws of the Lion,https://www.planetongames.com/es/gloomhaven-fauces-del-leon-p-9555.html++Planeton (precio aproximado),es,$262877,$255129,$258492,,Alta dependencia,12
https://www.boardgamegeek.com/boardgame/275044++Glow,https://www.planetongames.com/es/glow-p-9813.html++Planeton (precio aproximado),es,$168674,$163809,$165948,,Sin texto,1795
https://www.boardgamegeek.com/boardgame/199042++Harry Potter: Hogwarts Battle,https://www.planetongames.com/es/harry-potter-hogwarts-battle-p-8715.html++Planeton (precio aproximado),es,$211048,$204886,$207595,,Cantidad de texto moderada,416
https://www.boardgamegeek.com/boardgame/366013++Heat: Pedal to the Metal,https://www.planetongames.com/es/heat-p-10256.html++Planeton (precio aproximado),es,$253761,$246292,$249537,,Sin texto,43
https://www.boardgamegeek.com/boardgame/134253++Hostage Negotiator,https://www.planetongames.com/es/hostage-negotiator-p-7374.html++Planeton (precio aproximado),es,$129254,$125596,$127222,,Cantidad de texto moderada,1359
https://www.boardgamegeek.com/boardgame/177478++IKI,https://www.planetongames.com/es/iki-el-juego-de-los-artesanos-de-edo-p-10042.html++Planeton (precio aproximado),es,$371630,$360552,$365292,,Sin texto,459
https://www.boardgamegeek.com/boardgame/218804++Imaginarium,https://www.planetongames.com/es/imaginarium-p-8699.html++Planeton (precio aproximado),es,$93829,$91189,$92308,,Sin texto,1762
https://www.boardgamegeek.com/boardgame/318184++Imperium: Classics,https://www.planetongames.com/es/imperium-classics-english-p-9911.html++Planeton (precio aproximado),es,$160414,$155802,$157833,,Alta dependencia,356
https://www.boardgamegeek.com/boardgame/255588++Inis: Seasons of Inis,https://www.planetongames.com/es/inis-expansion-las-estaciones-de-inis-p-9993.html++Planeton (precio aproximado),es,$191259,$185703,$188135,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/327711++It&#x27;s a Wonderful Kingdom,https://www.planetongames.com/es/its-a-wonderful-kingdom-p-9903.html++Planeton (precio aproximado),es,$138589,$134646,$136393,,No hay datos,1294
https://www.boardgamegeek.com/boardgame/271324++It&#x27;s a Wonderful World,https://www.planetongames.com/es/it-s-a-wonderful-world-p-8928.html++Planeton (precio aproximado),es,$179967,$174756,$177042,,Sin texto,152
https://www.boardgamegeek.com/boardgame/284378++Kanban EV,https://www.planetongames.com/es/kanban-ev-p-9245.html++Planeton (precio aproximado),es,$448604,$435169,$440948,,Sin texto,52
https://www.boardgamegeek.com/boardgame/241477++Karak,https://www.planetongames.com/es/karak-p-10036.html++Planeton (precio aproximado),es,$157482,$152960,$154953,,Sin texto,1483
https://www.boardgamegeek.com/boardgame/299684++Khôra: Rise of an Empire,https://www.planetongames.com/es/khora-p-9996.html++Planeton (precio aproximado),es,$191360,$185801,$188234,,Cantidad de texto moderada,843
https://www.boardgamegeek.com/boardgame/223953++Kitchen Rush,https://www.planetongames.com/es/kitchen-rush-p-7585.html++Planeton (precio aproximado),es,$191259,$185703,$188135,,Poco texto,961
https://www.boardgamegeek.com/boardgame/285984++Last Bastion,https://www.planetongames.com/es/last-bastion-p-8551.html++Planeton (precio aproximado),es,$206392,$200372,$203001,,Sin texto,901
https://www.boardgamegeek.com/boardgame/356033++Libertalia: Winds of Galecrest,https://www.planetongames.com/es/libertalia-p-3429.html++Planeton (precio aproximado),es,$202652,$196747,$199328,,Cantidad de texto moderada,542
https://www.boardgamegeek.com/boardgame/338476++Lorenzo il Magnifico: Big Box,https://www.planetongames.com/es/lorenzo-el-magnifico-big-box-p-6976.html++Planeton (precio aproximado),es,$242206,$235090,$238185,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/312484++Lost Ruins of Arnak,https://www.planetongames.com/es/las-ruinas-perdidas-de-arnak-p-9347.html++Planeton (precio aproximado),es,$202892,$196980,$199564,,Cantidad de texto moderada,28
https://www.boardgamegeek.com/boardgame/299121++Machina Arcana (Second/Third Edition),https://www.planetongames.com/es/machina-arcana-p-9939.html++Planeton (precio aproximado),es,$313092,$303806,$307823,,No hay datos,1431
https://www.boardgamegeek.com/boardgame/96848++Mage Knight Board Game,https://www.planetongames.com/es/mage-knight-p-7777.html++Planeton (precio aproximado),es,$357659,$347008,$351604,,Alta dependencia,34
https://www.boardgamegeek.com/boardgame/248562++Mage Knight: Ultimate Edition,https://www.planetongames.com/es/mage-knight-definitive-edition-english-p-7777.html++Planeton (precio aproximado),es,$379673,$368349,$373231,,Alta dependencia,Sin datos
https://www.boardgamegeek.com/boardgame/209778++Magic Maze,https://www.planetongames.com/es/magic-maze-p-6790.html++Planeton (precio aproximado),es,$129254,$125596,$127222,,Sin texto,685
https://www.boardgamegeek.com/boardgame/276025++Maracaibo,https://www.planetongames.com/es/maracaibo-p-8879.html++Planeton (precio aproximado),es,$247723,$240438,$243604,,Poco texto,58
https://www.boardgamegeek.com/boardgame/197070++Massive Darkness,https://www.planetongames.com/es/massive-darkness-el-juego-de-mesa-p-7299.html++Planeton (precio aproximado),es,$334071,$324143,$328432,,Cantidad de texto moderada,1230
https://www.boardgamegeek.com/boardgame/262477++Mercado de Lisboa,https://www.planetongames.com/es/mercado-de-lisboa-p-9423.html++Planeton (precio aproximado),es,$191360,$185801,$188167,,Sin texto,2497
https://www.boardgamegeek.com/boardgame/238799++Messina 1347,https://www.planetongames.com/es/messina-1347-p-9986.html++Planeton (precio aproximado),es,$174973,$169915,$172075,,Sin texto,800
https://www.boardgamegeek.com/boardgame/318977++MicroMacro: Crime City,https://www.planetongames.com/es/micro-macro-p-9594.html++Planeton (precio aproximado),es,$158080,$153539,$155540,,Cantidad de texto moderada,251
https://www.boardgamegeek.com/boardgame/118++Modern Art,https://www.planetongames.com/es/modern-art-p-1522.html++Planeton (precio aproximado),es,$213945,$207694,$210422,,Sin texto,213
https://www.boardgamegeek.com/boardgame/126042++Nations,https://www.planetongames.com/es/nations-p-4317.html++Planeton (precio aproximado),es,$235932,$229008,$232021,,Cantidad de texto moderada,226
https://www.boardgamegeek.com/boardgame/187617++Nemo&#x27;s War (Second Edition),https://www.planetongames.com/es/nemo-s-war-p-8195.html++Planeton (precio aproximado),es,$238750,$231740,$234790,,Alta dependencia,322
https://www.boardgamegeek.com/boardgame/205716++New Angeles,https://www.planetongames.com/es/nueva-angeles-android-netrunner-p-6871.html++Planeton (precio aproximado),es,$243816,$236651,$239766,,Alta dependencia,1407
https://www.boardgamegeek.com/boardgame/213984++Notre Dame: 10th Anniversary,https://www.planetongames.com/es/notre-dame-edicion-10-aniversario-p-586.html++Planeton (precio aproximado),es,$174450,$169408,$171622,,Sin texto,Sin datos
https://www.boardgamegeek.com/boardgame/184267++On Mars,https://www.planetongames.com/es/on-mars-edicion-ks-p-8731.html++Planeton (precio aproximado),es,$398414,$386516,$391642,,Sin texto,50
https://www.boardgamegeek.com/boardgame/314040++Pandemic Legacy: Season 0,https://www.planetongames.com/es/pandemic-legacy-temporada-0-p-9168.html++Planeton (precio aproximado),es,$236505,$229564,$232585,,Alta dependencia,53
https://www.boardgamegeek.com/boardgame/221107++Pandemic Legacy: Season 2,https://www.planetongames.com/es/pandemic-legacy-temporada-2-amarillo-p-7107.html++Planeton (precio aproximado),es,$304261,$295246,$299147,,Alta dependencia,55
https://www.boardgamegeek.com/boardgame/256960++Pax Pamir: Second Edition,https://www.planetongames.com/es/pax-pamir-p-9167.html++Planeton (precio aproximado),es,$281701,$273376,$276984,,Cantidad de texto moderada,41
https://www.boardgamegeek.com/boardgame/331265++Port Royal: Big Box,https://www.planetongames.com/es/port-royal-p-4906.html++Planeton (precio aproximado),es,$148838,$144581,$146461,,Poco texto,Sin datos
https://www.boardgamegeek.com/boardgame/318985++Puerto Rico,https://www.planetongames.com/es/puerto-rico-p-3282.html++Planeton (precio aproximado),es,$182225,$176946,$179260,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/28143++Race for the Galaxy,https://www.planetongames.com/es/race-for-the-galaxy-p-730.html++Planeton (precio aproximado),es,$146754,$142560,$144414,,Poco texto,76
https://www.boardgamegeek.com/boardgame/205896++Rising Sun,https://www.planetongames.com/es/rising-sun-p-7531.html++Planeton (precio aproximado),es,$368917,$357922,$362696,,Poco texto,122
https://www.boardgamegeek.com/boardgame/169426++Roll Player,https://www.planetongames.com/es/roll-player-p-8276.html++Planeton (precio aproximado),es,$185617,$180233,$182610,,Alta dependencia,256
https://www.boardgamegeek.com/boardgame/284217++Rush M.D.,https://www.planetongames.com/es/rush-md-p-9334.html++Planeton (precio aproximado),es,$191335,$185776,$188210,,Poco texto,1993
https://www.boardgamegeek.com/boardgame/169786++Scythe,https://www.planetongames.com/es/scythe-p-6320.html++Planeton (precio aproximado),es,$274786,$266673,$270191,,Cantidad de texto moderada,17
https://www.boardgamegeek.com/boardgame/204305++Sherlock Holmes Consulting Detective: Jack the Ripper &amp; West End Adventures,https://www.planetongames.com/es/sherlock-holmes-detective-asesor-p-4406.html++Planeton (precio aproximado),es,$203882,$197939,$200578,,Injugable en otro idioma,441
https://www.boardgamegeek.com/boardgame/2511++Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases,https://www.planetongames.com/es/sherlock-holmes-los-crimenes-del-tamesis-p-7731.html++Planeton (precio aproximado),es,$203882,$197939,$200536,,Injugable en otro idioma,156
https://www.boardgamegeek.com/boardgame/359438++Skymines,https://www.planetongames.com/es/skymines-p-10276.html++Planeton (precio aproximado),es,$221804,$215312,$218142,,Sin texto,705
https://www.boardgamegeek.com/boardgame/40692++Small World,https://www.planetongames.com/es/small-world-smallworld-english-p-1513.html++Planeton (precio aproximado),es,$206199,$200185,$202812,,Sin texto,358
https://www.boardgamegeek.com/boardgame/122316++Small World: Realms,https://www.planetongames.com/es/small-world-realms-p-3294.html++Planeton (precio aproximado),es,$176060,$170969,$173204,,Sin texto,Sin datos
https://www.boardgamegeek.com/boardgame/364073++Splendor Duel,https://www.planetongames.com/es/splendor-duel-p-10282.html++Planeton (precio aproximado),es,$53363,$51962,$52557,,Sin texto,128
https://www.boardgamegeek.com/boardgame/312267++Star Wars: Unlock!,https://www.planetongames.com/es/star-wars-escape-game-unlock-p-9243.html++Planeton (precio aproximado),es,$160623,$156004,$158038,,Alta dependencia,1396
https://www.boardgamegeek.com/boardgame/34635++Stone Age,https://www.planetongames.com/es/stone-age-devir-p-3453.html++Planeton (precio aproximado),es,$164623,$159882,$161962,,Sin texto,159
https://www.boardgamegeek.com/boardgame/323156++Stroganov,https://www.planetongames.com/es/stroganov-p-9956.html++Planeton (precio aproximado),es,$202652,$196747,$199320,,Sin texto,1547
https://www.boardgamegeek.com/boardgame/123260++Suburbia,https://www.planetongames.com/es/suburbia-p-4809.html++Planeton (precio aproximado),es,$202552,$196650,$199229,,Cantidad de texto moderada,210
https://www.boardgamegeek.com/boardgame/2653++Survive: Escape from Atlantis!,https://www.planetongames.com/es/the-island-p-3284.html++Planeton (precio aproximado),es,$166240,$161450,$163557,,Sin texto,332
https://www.boardgamegeek.com/boardgame/170771++Sword &amp; Sorcery,https://www.planetongames.com/es/sword-sorcery-p-7149.html++Planeton (precio aproximado),es,$321237,$311701,$315859,,Cantidad de texto moderada,444
https://www.boardgamegeek.com/boardgame/316786++Tabannusi: Builders of Ur,https://www.planetongames.com/es/tabannusi-p-9890.html++Planeton (precio aproximado),es,$202652,$196747,$199330,,Sin texto,1707
https://www.boardgamegeek.com/boardgame/286096++Tapestry,https://www.planetongames.com/es/tapestry-p-9076.html++Planeton (precio aproximado),es,$286104,$277644,$281310,,Cantidad de texto moderada,275
https://www.boardgamegeek.com/boardgame/229853++Teotihuacan: City of Gods,https://www.planetongames.com/es/teotihuacan-ciudad-de-dioses-p-5492.html++Planeton (precio aproximado),es,$191360,$185801,$188273,,Sin texto,84
https://www.boardgamegeek.com/boardgame/167791++Terraforming Mars,https://www.planetongames.com/es/terraforming-mars-maldito-games-p-6755.html++Planeton (precio aproximado),es,$202627,$196723,$199365,,Alta dependencia,7
https://www.boardgamegeek.com/boardgame/281259++The Isle of Cats,https://www.planetongames.com/es/la-isla-de-los-gatos-p-8857.html++Planeton (precio aproximado),es,$195763,$190069,$192560,,Cantidad de texto moderada,133
https://www.boardgamegeek.com/boardgame/359421++The Lord of the Rings: The Card Game – Angmar Awakened Campaign Expansion,https://www.planetongames.com/es/angmar-despertado-expansion-de-campana-p-9948.html++Planeton (precio aproximado),es,$261238,$253539,$256881,,No hay datos,Sin datos
https://www.boardgamegeek.com/boardgame/279537++The Search for Planet X,https://www.planetongames.com/es/la-busqueda-del-planeta-x-p-10087.html++Planeton (precio aproximado),es,$175941,$170853,$173086,,Alta dependencia,93
https://www.boardgamegeek.com/boardgame/329841++Ticket to Ride: Europe – 15th Anniversary,https://www.planetongames.com/es/aventureros-al-tren-europa-edicion-15-aniversario-p-4507.html++Planeton (precio aproximado),es,$346689,$336374,$340828,,Sin texto,Sin datos
https://www.boardgamegeek.com/boardgame/291508++Tiny Epic Dinosaurs,https://www.planetongames.com/es/pequenos-grandes-dinosaurios-p-10163.html++Planeton (precio aproximado),es,$134373,$130558,$132251,,No hay datos,992
https://www.boardgamegeek.com/boardgame/288513++Tranquility,https://www.planetongames.com/es/tranquilidad-p-9784.html++Planeton (precio aproximado),es,$101787,$98904,$100184,,Sin texto,1584
https://www.boardgamegeek.com/boardgame/73439++Troyes,https://www.planetongames.com/es/troyes-p-6311.html++Planeton (precio aproximado),es,$217128,$210780,$213548,,Sin texto,108
https://www.boardgamegeek.com/boardgame/233078++Twilight Imperium: Fourth Edition,https://www.planetongames.com/es/twilight-imperium-4-edicion-p-6998.html++Planeton (precio aproximado),es,$490953,$476221,$482551,,Alta dependencia,5
https://www.boardgamegeek.com/boardgame/361545++Twilight Inscription,https://www.planetongames.com/es/twilight-inscription-p-10219.html++Planeton (precio aproximado),es,$248690,$241376,$244555,,Cantidad de texto moderada,760
https://www.boardgamegeek.com/boardgame/12333++Twilight Struggle,https://www.planetongames.com/es/twilight-struggle-la-guerra-fria-p-3176.html++Planeton (precio aproximado),es,$176186,$171091,$173327,,Alta dependencia,13
https://www.boardgamegeek.com/boardgame/306735++Under Falling Skies,https://www.planetongames.com/es/cielos-de-metal-p-9409.html++Planeton (precio aproximado),es,$158180,$153637,$155639,,Cantidad de texto moderada,219
https://www.boardgamegeek.com/boardgame/4475++Unexpected Treasures,https://www.planetongames.com/es/unexpected-treasures-p-6127.html++Planeton (precio aproximado),es,$112876,$109719,$111132,,Sin texto,5554
https://www.boardgamegeek.com/boardgame/340466++Unfathomable,https://www.planetongames.com/es/preventa-insondable-p-9691.html++Planeton (precio aproximado),es,$304261,$295246,$299147,,Alta dependencia,609
https://www.boardgamegeek.com/boardgame/327056++Unlock! Kids: Detective Stories,https://www.planetongames.com/es/unlock-kids-p-9957.html++Planeton (precio aproximado),es,$138037,$134110,$135850,,No hay datos,2237
